Ocean Drainage Areas,Location ID,ECCC Gauge Number,Comments,ECCC Gauge Name,Study Area as Reported,Latitude as Reported,Longitude as Reported,Lat,Lon,Sub-watershed,Watershed,Size,Size_un,Province,,
St. Lawrence,3105,02GC028,LAKE ERIE AT PORT DOVER,,Erie,,,42.78142,-80.20156,Great Lakes basin,,58800,km2,ON/US,,
St. Lawrence,3106,02HD015,LAKE ONTARIO AT COBOURG,,Ontario,,,43.95647,-78.16439,Great Lakes basin,,60600,km2,ON/US,,
St. Lawrence,3107,02XXXXX,NA,,entire Great Lakes basin,,,NA,NA,Great Lakes basin,,770000,km2,ON/US,,
St. Lawrence,3108,02CG002,LAKE HURON AT LITTLE CURRENT,,Georgian Bay,,,45.98053,-81.92436,,,NA,NA,ON,,
St. Lawrence,1801,02BA004,LAKE SUPERIOR AT ROSSPORT,,Superior,,,48.83372,-87.51956,Great Lakes basin,,128000,km2,ON/US,,
St. Lawrence,1802,02BF010,LAKE SUPERIOR AT GROS CAP,,Michigan,,,46.52914,-84.58628,Great Lakes basin,,118000,km2,ON/US,,
St. Lawrence,1803,02FE012,LAKE HURON AT GODERICH,,Huron,,,43.74539,-81.72781,Great Lakes basin,,131000,km2,ON/US,,
St. Lawrence,1804,02GC028,LAKE ERIE AT PORT DOVER,,Erie,,,42.78142,-80.20156,Great Lakes basin,,58800,km2,ON/US,,
St. Lawrence,1805,02HD015,LAKE ONTARIO AT COBOURG,,Ontario,,,43.95647,-78.16439,Great Lakes basin,,60600,km2,ON/US,,
Yukon River,1806,09EB001,YUKON RIVER AT DAWSON,,Yukon River,,,64.07,-139.425,,,NA,NA,YK  ,,
St. Lawrence,1501,02PA003,BATISCAN (RIVIERE) A LA CENTRALE DE SAINT-NARCISSE,,Batiscan,,,46.54861,-72.41028,,,4700,km2,QB,,
St. Lawrence,1502,02OC005,LOUP (RIVIERE DU) A LOUISEVILLE,,Yamachiche,,,46.29639,-72.91278,,,269,km2,QB,,
St. Lawrence,1503,02NG005,SAINT-MAURICE (RIVIERE) A LA CENTRALE DE LA GABELLE,,St-Maurice (LaGabelle),,,46.4494,-72.74,,,43250,km2,QB,,
St. Lawrence,1504,02OF002,SAINT-FRANCOIS (RIVIERE) A LA CENTRALE DE HEMMING-FALLS,,St-François,,,45.86167,-72.45306,,,10180,km2,QB,,
St. Lawrence,1505,02OJ007,RICHELIEU (RIVIERE) AUX RAPIDES FRYERS,,Richelieu,,,45.39847,-73.25844,,,23720,km2,QB,,
St. Lawrence,1506,02XXXXX,NA,,"Batiscan
St-Maurice (LaGabelle)
St-François
Richelieu",,,NA,NA,,,NA,NA,QB,,
St. Lawrence,1507,02XXXXX,NA,,"Batiscan
Yamachiche
St-Maurice (LaGabelle)
St-François
Richelieu",,,NA,NA,,,NA,NA,QB,,
St. Lawrence,2701,02PD010,"SAINT-CHARLES (RIVIERE) A 0,8 KM EN AMONT DE LA RIVIERE LORETTE",,Saint-Charles River catchment,,,46.81417,-71.3175,,,553,km2,QB,,
Pacific,3001,08HB014,SARITA RIVER NEAR BAMFIELD,Sarita River,Tofino A,,,48.8925,-124.9694,,,,,BC,,
Pacific,3002,08HB034,NANAIMO RIVER NEAR CASSIDY,Nanaimo River,Nanaimo A,,,49.06861,-123.8869,,,,,BC,,
Pacific,3003,08MG022,HARRISON RIVER BELOW MORRIS CREEK,Harrison River,Whistler,,,49.28501,-121.9042,,,,,BC,,
Pacific,3004,08MH014,ALOUETTE RIVER AT OUTLET OF ALOUETTE LAKE,Alouette Lake,Mission WA,,,49.28667,-122.4867,,,,,BC,,
Pacific,3005,08NL007,SIMILKAMEEN RIVER AT PRINCETON,Similkameen River,Princeton A,,,49.4597,-120.5035,,,,,BC,,
Pacific,3006,08NM116,MISSION CREEK NEAR EAST KELOWNA,Mission Creek,McCulloch,,,49.87793,-119.4135,,,,,BC,,
Pacific,3007,08NM142,COLDSTREAM CREEK ABOVE MUNICIPAL INTAKE,Coldstream Creek,Vernon Coldstream,,,50.25778,-119.0819,,,,,BC,,
Pacific,3008,08ND003,ILLECILLEWAET RIVER NEAR REVELSTOKE,Illecillewaet River,Revelstoke,,,50.98583,-118.1817,,,,,BC,,
Pacific,3009,08NG012,ST. MARY RIVER AT WYCLIFFE,St. Mary River,Cranbrook A,,,49.60028,-115.8628,,,NA,NA,BC,,
Pacific,3010,08NK002,ELK RIVER AT FERNIE,Elk River,Fernie,,,49.50347,-115.0701,,,,,BC,,
Pacific,3011,08FB001,BELLA COOLA RIVER AT BELLA COOLA,Bella Coola River,Bella Coola,,,52.3775,-126.755,,,,,BC,,
Pacific,3012,08OB003,MATHERS CREEK NEAR SANDSPIT,Pallant River,Sandspit A,,,53.01667,-131.7778,,,79.3,km2,BC,,
Pacific,3013,08FF001,KITIMAT RIVER BELOW HIRSCH CREEK,Kitimat River,Terrace A,,,54.04872,-128.6905,,,,,BC,,
Pacific,3014,08JE001,STUART RIVER NEAR FORT ST. JAMES,Stuart River,Fort St James,,,54.41686,-124.2706,,,,,BC,,
Pacific,3015,08KC001,SALMON RIVER NEAR PRINCE GEORGE,Salmon River,Prince George A,,,54.09642,-122.6799,,,,,BC,,
Pacific,3016,08LB047,NORTH THOMPSON RIVER AT BIRCH ISLAND,North Thompson River,Blue River,,,51.60186,-119.9144,,,,,BC,,
Pacific,3017,10CC001,FORT NELSON RIVER AT FORT NELSON,Ft Nelson River,Ft Nelson A,,,58.82222,-122.5417,,,,,BC,,
Pacific,3018,10AA001,LIARD RIVER AT UPPER CROSSING,Liard River,Watson Lake YT,,,60.05083,-128.9069,,,32600,km2,YK,,
Pacific,3019,10AC003,DEASE RIVER AT OUTLET OF DEASE LAKE,Dease River,Dease Lake,,,58.81389,-130.0833,,,,,BC,,
St. Lawrence,18501,02OG014,YAMASKA SUD-EST (RIVIERE) AU PONT-ROUTE 202 A COWANSVILLE,,Cowansville sub-watershed,,,45.20667,-72.74806,Yamaska river watershed,,214,km2,QB,,
St. Lawrence,18502,02OG019,"NOIRE (RIVIERE) A 7,6 KM DE LA YAMASKA",,Noire River sub-watershed,,,45.49972,-72.90639,Yamaska river watershed,,1414,km2,QB,,
St. Lawrence,18503,02OG005,YAMASKA (RIVIERE),,Yamaska river watershed,,,45.62139,-72.95083,St. Lawrence Lowlands,,4788,km2,QB,,
St. Lawrence,18401,02XXXXX,,,Outardes River basin,50.30°N,-68.88°W,50.3,-68.88,Côte Nord region,,15267,km2,QB,,
Pacific,18402,08JC001,,,Nechako sub-basin ,54.01°N,-124.00°W,54.02673,-124.0087,Fraser River Basin,,25100,km3,BC,,
St. Lawrence,18201,02RD003,MISTASSINI (RIVIERE) EN AMONT DE LA RIVIERE MISTASSIBI,,Mistassini basin,,,48.88778,-72.26361,,,11250,km2,QB,,
Northern QC and LB,18202,03HA001,ARNAUD (PAYNE) (RIVIERE) EN AMONT DE LA RIVIERE HAMELIN-1,,Arnaud basin,,,59.98889,-71.90833,,,26775,km2,QB,,
Nelson River,4901,05BJ004,,,Elbow River,50°30'N to 51°20'N,114°00'W to 115°00W,50.94893,-114.571,Bow river watershed,,1235,km2,AB,,
Maritimes,19101,01CA003,CARRUTHERS BROOK NEAR ST. ANTHONY,,"Carruthers Brook
Dunk River
Wilmot River
West River
Winter River",,,46.74411,-64.187,,,315,km2,PEI,,
St. Lawrence,21001,02GB001,,Grand River at Brantford (main gauge),Grand River Watershed,,,43.13272,-80.26731,Great Lakes Basin,,6800,km2,ON,,
Nelson River,22001,05AE025,ST. MARY RESERVOIR NEAR SPRING COULEE,,headwaters of the St. Mary River,,,49.36035,-113.1146,Oldman River,,1100,km2,AB/Montana,,
Arctic,21401,10LC014,MACKENZIE RIVER AT ARCTIC RED RIVER,Arctic Red River,Mackenzie River,52°N to 69°N,102°W to 142°W,67.456,-133.7533,,,1800000,km2,YK/NWT/BC/AB/SK,,
Great Slave Lake,21901,07DA001,ATHABASCA RIVER BELOW FORT MCMURRAY,,Athabasca River Basin,,,56.78035,-111.4022,,,NA,NA,AB/SK,,
Pacific,22201,08ME023,BRIDGE RIVER (SOUTH BRANCH) BELOW BRIDGE GLACIER,Bridge River Gauging station,Bridge River catchment,,,50.85622,-123.4533,Southern Chilcotin Mountains,,152.4,km2,BC,,
Great Slave Lake,21501,07AA002,,Athabasca River near Jasper,,"52°54'36""","118°03'25""",52.91019,-118.0587,Athabasca River basin,,3880,km2,AB,,
Great Slave Lake,21502,07AE001,,Athabasca River near Windfall,,"54°12'25""","116°03'45""",54.20753,-116.0632,Athabasca River basin,,19600,km2,AB,,
Great Slave Lake,21503,07BE001,,Athabasca River at Athabasca,,"54°43'20""","113°17'10""",54.72203,-113.288,Athabasca River basin,,74600,km2,AB,,
Great Slave Lake,21504,07AD001,,Athabasca River below McMurray,,"56°46'50""","111°24'00""",53.37694,-117.695,Athabasca River basin,,133000,km2,AB,,
W & N Hudson Bay,21505,06AD006,,Beaver River at Cold Lake Reserve,,"54°21'15""","110°13'00""",54.35516,-110.2173,Beaver River watershed,,14500,km2,AB,,
Great Slave Lake,21506,07DC001,,Firebag River near the Mouth,Firebag River sub-basin,"57°39'03""","111°12'05""",57.65113,-111.2025,Athabasca River basin,,5990,km2,AB,,
Nelson River,30101,05BJ010,ELBOW RIVER AT SARCEE BRIDGE,Sarcee Bridge (wsh outlet),Elbow River watershed,,,50.9935,-114.1699,,,1190,km2,AB,,
St. Lawrence,30201,02OF019,SAINT-FRANCOIS (RIVIERE) A LA CENTRALE DE DRUMMONDVILLE,Saint-Francois,,,,45.88722,-72.48333,,,10180,km2,QB,,
St. Lawrence,30202,02OJ003,RICHELIEU (RIVIERE) PRES DE SAINT-OURS,Richelieu,,,,45.86444,-73.14639,,,23720,km2,QB,,
Great Slave Lake,30301,07HA001,PEACE RIVER AT PEACE RIVER,Peace River at Peace River City,Upper Peace Region,,,56.24494,-117.3143,,,194000,km2,AB,,
Great Slave Lake,30302,07GJ001,Smoky River at Watino,Smoky River at Watino,Upper Peace Region,,,55.7146,-117.6231,,,50300,km2,AB,,
St. Lawrence,30401,02RC002,PERIBONCA (RIVIERE) A LA CENTRALE DE CHUTE-A-LA-SAVANE,Peribonka River,,,,48.75417,-71.84,,,27000,km2,QB,,
St. Lawrence,30501,02RC002,PERIBONCA (RIVIERE) A LA CENTRALE DE CHUTE-A-LA-SAVANE,Peribonka River,,,,48.75417,-71.84,,,27000,km2,QB,,
St. Lawrence,30502,02RC002,PERIBONCA (RIVIERE) A LA CENTRALE DE CHUTE-A-LA-SAVANE,Chute-à-la-Savane,,,,48.75417,-71.84,,,1300,km2,QB,,
St. Lawrence,30503,02RC005,PERIBONCA (RIVIERE) A LA CENTRALE DE LA PASSE DANGEREUSE,Passes-Dangereuses,,,,49.9,-71.25417,,,11000,km2,QB,,
St. Lawrence,30601,02OJ007,RICHELIEU (RIVIERE) AUX RAPIDES FRYERS,Fryers station,Lake Champlain-Richelieu River Basin,,,45.39847,-73.25844,,,22000,km2,QB/Vermont/NY,,
Great Slave Lake,30701,07AD002,Athabasca River at Hinton,Upper Athabasca River,,,,53.42429,-117.5694,,,9765,km2,AB,,
St. Lawrence,30801,02XXXXX,OTTAWA RIVER AT BRITANNIA,Watts Creek,,"45°20?25.72""",?75°52?34.29?,45.340478,-75.876192,,,21,km2,ON,,
St. Lawrence,30901,02OA046,SAINT-LAURENT (FLEUVE) A MONTREAL (JETEE NO. 1),21 km section of the Ottawa River,Ottawa River Watershed,,,45.50472,-73.55139,,,NA,NA,QB,,
Pacific,31801,08HA011,Cowichan River near Duncan,Cowichan Watershed,,,,48.77308,-123.7145,,,930,km2,BC,,
St. Lawrence,31901,02TC003,MANICOUAGAN (RIVIERE) A LA CENTRALE NO. 2,,Manicouagan River catchment,,,49.335,-68.3475,,,44500,km2,QB,,
St. Lawrence,32001,02PA007,"BATISCAN (RIVIERE) A 3,4 KM EN AVAL DE LA RIVIERE DES ENVIES",,Batiscan,,,46.58361,-72.40472,Saint-Lawrence River,,4480,km2,QB,,
St. Lawrence,32002,02OJ007,RICHELIEU (RIVIERE) AUX RAPIDES FRYERS,,Richelieu,,,45.39847,-73.25844,Saint-Lawrence River,,22000,km2,QB,,
St. Lawrence,32003,02OE005,SAINT-FRANCOIS (RIVIERE) A SHERBROOKE,,Saint-Francois,,,45.40306,-71.88722,Saint-Lawrence River,,7930,km2,QB,,
St. Lawrence,31701,02EC020,,HAWKESTONE CREEK AT HAWKESTONE,"Oro North, Oro South, and Hawkestone Creek sub-watersheds",,,44.49697,-79.46797,Lake Simcoe Watershed,,1370,km2,ON,,
